Senate Vote #4 1789-08-04T00:00:00 - TO AMEND THE ACT (1 STAT 49, APP. 8-7-1789), TO ESTABLISH AN EXECUTIVE DEPARTMENT TO BE CALLED THE DEPARTMENT OF WAR; SO AS TO STRIKE "AND WHO, WHENEVER THE SAID PRINCIPAL OFFICER SHALL BE REMOVED FROM OFFICE BY THE PRESIDENT."
401222,DE,,Not Voting,Richard Bassett,Anti-Administration
402128,SC,,Yea,Pierce Butler,Democratic Republican
402332,MD,,Nay,Charles “of Carrollton” Carroll,Pro-Administration
403156,MA,,Nay,Tristram Dalton,Pro-Administration
403838,CT,,Nay,Oliver Ellsworth,Pro-Administration
403846,NJ,,Nay,Jonathan Elmer,Pro-Administration
404057,GA,,Yea,William Few,Anti-Administration
404753,VA,,Yea,William Grayson,Anti-Administration
404870,GA,,Yea,James Gunn,Federalist
405370,MD,,Nay,John Henry,Pro-Administration
406077,CT,,Yea,William Johnson,Pro-Administration
406372,NY,,Nay,Rufus King,Federalist
406576,NH,,Yea,John Langdon,Democratic Republican
406704,VA,,Yea,Richard Lee,Anti-Administration
407058,PA,,Not Voting,William Maclay,Anti-Administration
407953,PA,,Nay,Robert Morris,Pro-Administration
408510,NJ,,Not Voting,William Paterson,Pro-Administration
409071,DE,,Nay,George Read,Pro-Administration
409661,NY,,Nay,Philip Schuyler,Pro-Administration
410466,MA,,Nay,Caleb Strong,Pro-Administration
411787,NH,,Yea,Paine Wingate,Anti-Administration
412129,SC,,Yea,Ralph Izard,Pro-Administration
