Senate Vote #16 1789-09-21T00:00:00 - TO AMEND THE ACT (1 STAT 101, APP. 3-1-90), TO ALLOW COMPEN- SATION TO THE JUDGES OF THE SUPREME COURT AND OTHER COURTS, AND TO THE ATTORNEY GENERAL; TO INCREASE THE SALARY OF THE CHIEF JUSTICE FROM $3500 TO $4000.  (VICE PRESIDENT VOTING IN THE AFFIRMATIVE)
401222,DE,,Nay,Richard Bassett,Anti-Administration
402128,SC,,Yea,Pierce Butler,Democratic Republican
402332,MD,,Yea,Charles “of Carrollton” Carroll,Pro-Administration
403156,MA,,Nay,Tristram Dalton,Pro-Administration
403838,CT,,Nay,Oliver Ellsworth,Pro-Administration
403846,NJ,,Not Voting,Jonathan Elmer,Pro-Administration
404057,GA,,Not Voting,William Few,Anti-Administration
404753,VA,,Nay,William Grayson,Anti-Administration
404870,GA,,Yea,James Gunn,Federalist
405370,MD,,Nay,John Henry,Pro-Administration
406077,CT,,Nay,William Johnson,Pro-Administration
406372,NY,,Yea,Rufus King,Federalist
406576,NH,,Not Voting,John Langdon,Democratic Republican
406704,VA,,Nay,Richard Lee,Anti-Administration
407058,PA,,Nay,William Maclay,Anti-Administration
407953,PA,,Yea,Robert Morris,Pro-Administration
408510,NJ,,Yea,William Paterson,Pro-Administration
409071,DE,,Yea,George Read,Pro-Administration
409661,NY,,Yea,Philip Schuyler,Pro-Administration
410466,MA,,Not Voting,Caleb Strong,Pro-Administration
411787,NH,,Nay,Paine Wingate,Anti-Administration
412129,SC,,Yea,Ralph Izard,Pro-Administration
